"Time","California - All Types - All Makes - All Models - All Vehicle Years - #","California - Automobiles - All Makes - All Models - All Vehicle Years - #","California - Light Trucks - All Makes - All Models - All Vehicle Years - #","California - Medium/Heavy Trucks - All Makes - All Models - All Vehicle Years - #","California - Motorcycles - All Makes - All Models - All Vehicle Years - #","California - All Terrain Vehicles - All Makes - All Models - All Vehicle Years - #","California - Motor Home - All Makes - All Models - All Vehicle Years - #","California - Buses - All Makes - All Models - All Vehicle Years - #","California - Other Vehicle - All Makes - All Models - All Vehicle Years - #","California - Unknown - All Makes - All Models - All Vehicle Years - #","Florida - All Types - All Makes - All Models - All Vehicle Years - #","Florida - Automobiles - All Makes - All Models - All Vehicle Years - #","Florida - Light Trucks - All Makes - All Models - All Vehicle Years - #","Florida - Medium/Heavy Trucks - All Makes - All Models - All Vehicle Years - #","Florida - Motorcycles - All Makes - All Models - All Vehicle Years - #","Florida - All Terrain Vehicles - All Makes - All Models - All Vehicle Years - #","Florida - Motor Home - All Makes - All Models - All Vehicle Years - #","Florida - Buses - All Makes - All Models - All Vehicle Years - #","Florida - Other Vehicle - All Makes - All Models - All Vehicle Years - #","Florida - Unknown - All Makes - All Models - All Vehicle Years - #","Georgia - All Types - All Makes - All Models - All Vehicle Years - #","Georgia - Automobiles - All Makes - All Models - All Vehicle Years - #","Georgia - Light Trucks - All Makes - All Models - All Vehicle Years - #","Georgia - Medium/Heavy Trucks - All Makes - All Models - All Vehicle Years - #","Georgia - Motorcycles - All Makes - All Models - All Vehicle Years - #","Georgia - All Terrain Vehicles - All Makes - All Models - All Vehicle Years - #","Georgia - Motor Home - All Makes - All Models - All Vehicle Years - #","Georgia - Buses - All Makes - All Models - All Vehicle Years - #","Georgia - Other Vehicle - All Makes - All Models - All Vehicle Years - #","Georgia - Unknown - All Makes - All Models - All Vehicle Years - #","New York - All Types - All Makes - All Models - All Vehicle Years - #","New York - Automobiles - All Makes - All Models - All Vehicle Years - #","New York - Light Trucks - All Makes - All Models - All Vehicle Years - #","New York - Medium/Heavy Trucks - All Makes - All Models - All Vehicle Years - #","New York - Motorcycles - All Makes - All Models - All Vehicle Years - #","New York - All Terrain Vehicles - All Makes - All Models - All Vehicle Years - #","New York - Motor Home - All Makes - All Models - All Vehicle Years - #","New York - Buses - All Makes - All Models - All Vehicle Years - #","New York - Other Vehicle - All Makes - All Models - All Vehicle Years - #","New York - Unknown - All Makes - All Models - All Vehicle Years - #","Texas - All Types - All Makes - All Models - All Vehicle Years - #","Texas - Automobiles - All Makes - All Models - All Vehicle Years - #","Texas - Light Trucks - All Makes - All Models - All Vehicle Years - #","Texas - Medium/Heavy Trucks - All Makes - All Models - All Vehicle Years - #","Texas - Motorcycles - All Makes - All Models - All Vehicle Years - #","Texas - All Terrain Vehicles - All Makes - All Models - All Vehicle Years - #","Texas - Motor Home - All Makes - All Models - All Vehicle Years - #","Texas - Buses - All Makes - All Models - All Vehicle Years - #","Texas - Other Vehicle - All Makes - All Models - All Vehicle Years - #","Texas - Unknown - All Makes - All Models - All Vehicle Years - #"
"2002",5561,2703,2026,333,332,12,18,26,11,100,4438,2100,1583,346,334,17,6,19,5,28,2190,980,848,193,85,14,2,9,9,50,2076,1081,621,123,148,10,1,20,1,71,5187,2102,2285,399,267,9,4,20,13,88
"2003",5744,2762,2113,323,399,8,5,31,18,85,4432,2022,1592,333,381,23,5,15,17,44,2277,1005,890,206,108,23,2,11,11,21,1991,1024,579,131,161,15,"",21,5,55,5255,1972,2378,437,346,19,5,11,13,74
"2004",5695,2554,2127,368,462,10,5,25,18,126,4583,1923,1736,346,437,26,6,22,12,75,2363,1025,938,228,114,12,4,9,7,26,2011,1015,628,115,152,14,1,22,5,59,5071,1960,2253,419,292,14,2,15,12,104
"2005",5820,2654,2108,365,490,14,9,22,8,150,4990,2076,1813,366,485,24,6,30,2,188,2510,1011,1048,229,146,17,5,5,6,43,1902,936,573,126,174,17,"",16,2,58,4815,1737,2127,439,378,16,8,12,13,85
"2006",5828,2581,2127,368,525,22,5,40,10,150,4822,1995,1732,318,586,25,3,31,3,129,2430,975,1013,217,163,11,1,10,5,35,1968,884,625,138,207,17,"",27,5,65,4770,1699,2138,432,361,19,2,9,7,103
"2007",5560,2460,1962,382,541,21,12,30,6,146,4567,1835,1661,277,579,29,1,28,6,151,2301,907,969,199,170,8,1,9,4,34,1848,856,597,124,172,16,1,12,5,65,4748,1615,2124,452,418,26,1,6,16,90
"2008",4749,2046,1622,288,591,24,11,27,6,134,4233,1699,1524,255,576,16,4,30,2,127,2072,809,850,175,179,17,1,9,8,24,1716,814,530,103,193,12,"",7,6,51,4744,1611,2030,419,535,21,2,18,14,94
"2009",4219,1907,1502,254,411,19,6,16,11,93,3496,1447,1316,170,431,12,5,21,2,92,1764,681,765,123,140,11,2,5,8,29,1522,697,495,91,161,8,1,10,1,58,4233,1437,1951,284,447,22,1,9,7,75
"2010",3696,1566,1365,230,373,7,8,20,5,122,3445,1486,1269,170,409,13,1,27,4,66,1706,638,731,138,136,13,"",6,6,38,1576,728,474,105,188,12,"",12,6,51,4181,1429,1828,352,428,16,"",21,5,102
"2011",3818,1654,1311,258,431,12,4,10,6,132,3300,1323,1179,192,473,10,5,19,16,83,1696,642,683,164,155,11,2,2,6,31,1539,679,498,109,173,13,"",10,10,47,4222,1421,1789,398,490,13,3,12,9,87
"2012",4001,1797,1335,253,466,6,4,15,11,114,3441,1465,1137,184,515,17,5,17,13,88,1688,704,651,148,143,16,"",5,4,17,1591,716,514,98,174,13,"",13,1,62,4629,1490,2002,532,460,17,"",17,6,105
"2013",4263,1934,1398,265,480,11,4,16,5,150,3351,1371,1170,180,502,19,3,27,7,72,1636,652,652,157,122,13,3,10,6,21,1586,719,502,108,173,13,"",16,2,53,4656,1573,1954,485,501,17,1,15,7,103
"2014",4295,1911,1384,278,540,11,3,16,13,139,3530,1501,1235,172,490,16,2,16,6,92,1631,659,648,134,138,11,"",7,12,22,1406,619,447,101,150,14,2,19,7,47,4890,1659,2125,526,462,18,1,12,7,80
"2015",4718,2160,1590,293,512,4,5,15,10,129,4164,1823,1355,211,625,14,3,19,12,102,2049,829,830,171,154,14,3,6,6,36,1525,664,502,113,163,14,"",17,4,48,4994,1742,2110,532,459,21,5,22,7,96
"2016",5350,2510,1676,345,596,9,11,18,9,176,4601,1989,1540,296,600,16,3,18,13,126,2166,872,829,203,174,15,3,15,17,38,1396,575,506,109,142,9,2,11,3,39,5326,1899,2187,573,498,19,"",17,11,122
"2017",5498,2515,1806,352,597,14,8,15,9,182,4640,1986,1574,293,619,22,2,17,6,121,2298,923,940,233,142,15,4,11,8,22,1376,586,469,113,151,6,2,10,3,36,5284,1824,2155,620,501,23,3,19,9,130
"2018",4986,2262,1648,330,509,15,7,16,8,191,4564,1934,1554,313,594,15,3,14,12,125,2165,910,825,190,158,17,1,11,10,43,1291,531,457,97,150,20,"",6,4,26,5222,1740,2230,636,435,21,5,9,7,139
"2019",5029,2274,1677,368,486,11,3,16,7,187,4745,2014,1619,332,605,23,1,18,18,115,2197,901,840,188,174,18,1,11,16,48,1218,477,430,115,137,6,"",7,5,41,5208,1709,2263,645,420,19,4,12,5,131



"Publisher:", "National Highway Traffic Safety Administration"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
